Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
P1,13/09/15,Guimaraes,Tondela,1,0,H,1,0,H,1.95,3.2,4.2,1.83,3.2,4.6,1.9,3.3,3.7,1.91,3.1,4.5,1.92,3.36,4.84,1.91,3,4.2,1.9,3.3,4.75,37,1.95,1.88,3.4,3.17,4.84,4.35,26,2.54,2.43,1.55,1.51,25,-0.5,1.94,1.89,2.01,1.93
P1,13/09/15,Maritimo,Setubal,5,2,H,0,1,A,1.83,3.4,4.5,1.78,3.3,4.6,1.8,3.4,4,1.85,3.2,4.5,1.9,3.44,4.8,1.8,3.2,4.5,1.87,3.4,4.8,35,1.9,1.82,3.45,3.25,4.89,4.49,24,2.5,2.37,1.58,1.54,24,-0.5,1.9,1.85,2.04,1.98
P1,13/09/15,Moreirense,Uniao Madeira,0,0,D,0,0,D,2.25,3.1,3.4,2.25,3,3.3,2.3,3,3,2.38,2.9,3.3,2.35,3.17,3.52,2.3,3,3.1,2.3,3.13,3.5,37,2.38,2.28,3.17,3.04,3.52,3.24,26,2.68,2.52,1.5,1.48,23,-0.25,2.02,1.95,1.94,1.88
P1,13/09/15,Nacional,Academica,2,0,H,1,0,H,1.65,3.6,5.5,1.7,3.6,4.75,1.75,3.4,4.3,1.7,3.3,6,1.7,3.57,6.2,1.67,3.25,5.5,1.7,3.5,6,37,1.75,1.67,3.6,3.36,6.2,5.53,26,2.57,2.45,1.54,1.51,23,-0.75,1.97,1.92,1.97,1.91
P1,13/09/15,Rio Ave,Sp Lisbon,1,2,A,0,2,A,7,4,1.5,7,4,1.45,5.7,3.8,1.5,7.5,4,1.48,8.61,4.28,1.47,6.5,3.75,1.5,7.5,4.2,1.5,36,8.61,7.23,4.28,4.01,1.5,1.46,31,2.12,2.02,1.82,1.75,29,1,2.08,1.99,1.89,1.83
P1,14/09/15,Boavista,Pacos Ferreira,0,1,A,0,0,D,2.88,3,2.63,2.6,3.1,2.65,2.6,3,2.6,2.88,2.8,2.7,2.89,3.08,2.79,2.75,2.8,2.7,2.88,3.1,2.7,36,2.89,2.76,3.15,2.97,2.79,2.64,26,2.71,2.58,1.5,1.46,24,0,2.02,1.96,1.92,1.86
P1,18/09/15,Setubal,Guimaraes,2,2,D,1,1,D,2.45,3.1,3,2.45,3,2.95,2.5,3.1,2.7,2.5,3,2.8,2.62,3.17,3.05,2.5,3,2.8,2.5,3.13,3,40,2.63,2.48,3.17,3.05,3.07,2.88,31,2.5,2.38,1.6,1.54,25,0,1.82,1.76,2.16,2.07
P1,19/09/15,Pacos Ferreira,Rio Ave,0,3,A,0,2,A,1.95,3.2,4.2,1.95,3.1,4.1,2,3.2,3.4,2,3.2,4,2.04,3.35,4.23,2,3.1,3.8,2,3.3,4,40,2.06,1.98,3.35,3.19,4.53,3.88,29,2.45,2.32,1.62,1.57,25,-0.5,2.07,2,1.89,1.83
P1,19/09/15,Tondela,Estoril,0,1,A,0,0,D,2.8,3.1,2.6,2.9,2.95,2.55,2.7,3.1,2.5,2.9,3,2.5,3.02,3.17,2.64,2.8,3,2.5,2.9,3.1,2.63,39,3.02,2.84,3.17,3.01,2.66,2.54,27,2.64,2.51,1.51,1.49,25,0,2.09,2.01,1.86,1.81
P1,20/09/15,Academica,Boavista,0,2,A,0,1,A,2.88,3,2.63,2.7,2.9,2.75,2.6,2.9,2.7,2.8,2.8,2.75,2.9,3.04,2.85,2.75,2.8,2.7,2.8,3,2.75,39,2.9,2.75,3.1,2.93,2.88,2.68,28,2.8,2.66,1.48,1.44,24,0,1.99,1.93,1.93,1.88
P1,20/09/15,Porto,Benfica,1,0,H,0,0,D,2,3.2,4,2,3.3,4.2,2,3.2,3.7,1.95,3.3,4,2.01,3.43,4.23,1.95,3.2,3.8,1.95,3.3,4.2,34,2.04,1.97,3.43,3.24,4.35,3.9,31,2.3,2.24,1.69,1.61,25,-0.5,2.02,1.96,1.93,1.87
P1,20/09/15,Uniao Madeira,Arouca,0,0,D,0,0,D,2.6,3.1,2.8,2.5,3,2.9,2.6,3,2.6,2.62,2.9,2.9,2.75,3.08,2.97,2.6,2.8,2.88,2.63,3.1,2.9,40,2.75,2.59,3.15,2.98,2.97,2.8,28,2.67,2.54,1.5,1.48,25,0,1.88,1.83,2.06,1.98
P1,21/09/15,Belenenses,Moreirense,2,0,H,2,0,H,2.1,3.25,3.5,2.05,3,3.9,2.1,3.1,3.3,2.1,3,3.8,2.14,3.17,4.11,2.15,3,3.4,2.1,3.1,4,32,2.15,2.09,3.25,3.07,4.11,3.66,28,2.74,2.59,1.5,1.46,22,-0.5,2.18,2.1,1.82,1.75
P1,21/09/15,Sp Braga,Maritimo,5,1,H,2,1,H,1.75,3.5,4.75,1.72,3.5,4.75,1.7,3.5,4.4,1.75,3.4,5,1.79,3.61,5.31,1.73,3.4,4.6,1.73,3.6,5.2,37,1.79,1.72,3.61,3.44,5.31,4.79,31,2.3,2.2,1.7,1.64,22,-0.5,1.79,1.73,2.2,2.12
P1,21/09/15,Sp Lisbon,Nacional,1,0,H,0,0,D,1.29,5,12,1.25,5.5,10,1.35,4.5,7.3,1.25,5.5,12,1.29,5.82,12.56,1.29,4.8,9.5,1.25,5.75,13,37,1.35,1.25,5.82,5.4,13,10.97,33,1.79,1.71,2.19,2.09,27,-1.5,1.85,1.8,2.1,2
P1,25/09/15,Moreirense,Porto,2,2,D,0,1,A,15,5.5,1.22,13,5,1.25,10,5,1.25,13,5.25,1.25,17.52,6.16,1.24,11,5,1.25,15,6,1.25,41,17.62,13.32,6.17,5.5,1.27,1.23,37,1.95,1.85,2.05,1.92,25,1.5,2.09,2.02,1.89,1.81
P1,26/09/15,Benfica,Pacos Ferreira,3,0,H,1,0,H,1.25,5.5,13,1.25,5.25,11.5,1.15,6.2,14,1.25,5.75,12,1.26,6.38,13.7,1.29,4.8,10,1.25,6,13,40,1.29,1.24,6.38,5.59,15,12,35,1.81,1.75,2.14,2.04,24,-1.75,2.09,2.01,1.89,1.82
P1,26/09/15,Boavista,Sp Lisbon,0,0,D,0,0,D,9.5,5,1.33,10,4.75,1.3,7,4.1,1.4,9,4.5,1.36,9.62,4.97,1.39,8.5,4.33,1.35,10,4.8,1.36,39,10.76,9.07,5.19,4.65,1.4,1.34,35,2.08,1.95,1.91,1.83,22,1.25,2.03,1.97,1.92,1.86
P1,27/09/15,Arouca,Belenenses,2,2,D,0,1,A,2.4,3,3.2,2.4,2.95,3.1,2.2,3.1,3.1,2.38,3,3.2,2.45,3.14,3.35,2.45,2.88,3,2.4,3.1,3.3,40,2.5,2.36,3.15,3,3.35,3.12,29,2.75,2.61,1.5,1.46,23,-0.25,2.07,2.02,1.85,1.81
P1,27/09/15,Estoril,Uniao Madeira,2,1,H,1,0,H,1.73,3.4,5.25,1.8,3.3,4.5,1.75,3.4,4.3,1.8,3.25,5,1.81,3.47,5.46,1.83,3.1,4.5,1.8,3.4,5.25,40,1.83,1.76,3.47,3.27,5.46,4.9,29,2.63,2.5,1.55,1.49,24,-0.5,1.83,1.78,2.16,2.06
P1,27/09/15,Guimaraes,Sp Braga,0,1,A,0,0,D,3.5,3,2.25,3.3,2.95,2.3,2.7,3.2,2.4,3.3,3.1,2.25,3.39,3.29,2.34,3.2,3,2.25,3.25,3.2,2.38,40,3.5,3.21,3.29,3.08,2.4,2.27,29,2.45,2.34,1.6,1.56,22,0.25,1.94,1.88,2,1.94
P1,27/09/15,Maritimo,Tondela,1,0,H,0,0,D,1.73,3.6,4.75,1.75,3.5,4.5,1.75,3.4,4.3,1.75,3.4,5,1.79,3.63,5.29,1.83,3.1,4.5,1.75,3.6,5.25,39,1.83,1.74,3.63,3.43,5.29,4.77,28,2.5,2.29,1.65,1.58,23,-0.75,2.07,2,1.88,1.83
P1,27/09/15,Nacional,Setubal,1,1,D,0,1,A,1.91,3.4,4,1.8,3.5,4.25,1.8,3.4,4,1.85,3.4,4,1.91,3.59,4.48,1.85,3.2,4.2,1.91,3.5,4.33,40,1.95,1.87,3.59,3.36,4.48,4.07,33,2.2,2.11,1.76,1.7,24,-0.5,1.94,1.89,2.02,1.94
P1,28/09/15,Rio Ave,Academica,1,0,H,1,0,H,1.62,3.6,6,1.6,3.9,5,1.6,3.6,5,1.62,3.5,6,1.62,3.82,6.87,1.65,3.3,5.5,1.62,3.7,6.5,38,1.65,1.6,3.9,3.55,6.87,5.96,29,2.5,2.37,1.61,1.54,22,-1,2.32,2.18,1.76,1.69
P1,02/10/15,Setubal,Estoril,1,0,H,0,0,D,2.5,3.2,2.88,2.45,3.1,2.85,2.4,3.2,2.7,2.5,3.1,2.9,2.6,3.23,3.03,2.5,3.1,2.7,2.55,3.25,2.9,42,2.6,2.49,3.27,3.11,3.03,2.83,34,2.42,2.29,1.64,1.59,24,0,1.84,1.79,2.11,2.03
P1,03/10/15,Academica,Maritimo,1,0,H,0,0,D,4,3.1,2.05,3.8,3.2,2,3.3,3.3,2,3.6,3.1,2.05,3.88,3.3,2.15,3.6,3.1,2.05,3.8,3.2,2.15,41,4,3.61,3.3,3.15,2.15,2.08,29,2.5,2.38,1.58,1.54,23,0.5,1.79,1.75,2.17,2.11
P1,03/10/15,Pacos Ferreira,Nacional,3,1,H,1,1,D,2.2,3.5,3.1,2.1,3.3,3.3,2.1,3.2,3.2,2.15,3.1,3.4,2.25,3.32,3.58,2.25,3,3.2,2.25,3.25,3.5,42,2.28,2.2,3.5,3.18,3.58,3.26,30,2.38,2.28,1.64,1.58,23,-0.25,1.96,1.89,2,1.94
P1,03/10/15,Rio Ave,Boavista,1,0,H,0,0,D,2.05,3.3,3.6,2,3.3,3.6,2,3.3,3.3,2,3,4,2.07,3.23,4.3,1.91,3,4.33,2.05,3.2,4.1,42,2.11,2.03,3.3,3.12,4.33,3.82,31,2.65,2.51,1.5,1.49,24,-0.5,2.12,2.06,1.85,1.79
P1,03/10/15,Tondela,Moreirense,1,1,D,0,1,A,2.38,3.1,3.1,2.35,3,3.1,2.3,3.1,2.9,2.3,2.9,3.3,2.42,3.09,3.47,2.45,2.88,3,2.38,3.1,3.4,42,2.45,2.33,3.15,3.02,3.47,3.17,30,2.79,2.63,1.48,1.45,23,-0.25,2.05,1.99,1.89,1.84
P1,04/10/15,Porto,Belenenses,4,0,H,0,0,D,1.14,7,21,1.16,6,19.5,1.17,5.8,13,1.17,7,21,1.18,7.71,21.91,1.18,6,13,1.15,7.5,26,42,1.18,1.15,8.06,6.77,34,20.27,34,1.72,1.67,2.25,2.14,25,-2,1.97,1.89,1.99,1.93
P1,04/10/15,Sp Braga,Arouca,0,0,D,0,0,D,1.53,4,6,1.48,3.9,6.75,1.55,3.7,5.4,1.55,3.8,6.5,1.57,4.09,6.87,1.55,3.6,6,1.55,4,7,42,1.57,1.53,4.09,3.77,7,6.41,35,2.23,2.13,1.76,1.68,25,-1,2.06,1.98,1.9,1.84
P1,04/10/15,Sp Lisbon,Guimaraes,5,1,H,2,0,H,1.29,5.5,10,1.26,5.25,10.5,1.3,4.8,8.5,1.29,5.25,11,1.29,5.9,12.55,1.3,4.75,9,1.25,5.75,13,40,1.3,1.26,5.9,5.39,13,10.86,31,1.7,1.66,2.25,2.15,25,-1.5,1.87,1.83,2.06,2
P1,23/10/15,Nacional,Boavista,0,0,D,0,0,D,1.91,3.25,4.33,1.78,3.25,4.75,1.8,3.4,4,1.85,3.2,4.5,1.93,3.35,4.81,1.83,3.1,4.5,1.9,3.3,4.75,41,1.93,1.87,3.4,3.22,4.85,4.39,31,2.62,2.5,1.53,1.49,24,-0.5,1.94,1.89,2.01,1.94
P1,24/10/15,Estoril,Rio Ave,2,2,D,0,1,A,2.2,3.1,3.5,2.15,3.1,3.4,2.3,3.1,2.9,2.15,3.1,3.5,2.28,3.28,3.56,2.15,3,3.4,2.25,3.25,3.5,41,2.3,2.19,3.28,3.15,3.7,3.35,31,2.45,2.33,1.6,1.55,22,-0.25,1.98,1.91,1.99,1.92
P1,24/10/15,Guimaraes,Academica,1,1,D,1,0,H,1.7,3.6,5,1.75,3.25,5,1.7,3.5,4.4,1.73,3.5,5,1.76,3.71,5.35,1.73,3.3,4.8,1.75,3.5,5.4,41,1.78,1.73,3.71,3.44,5.4,4.95,31,2.48,2.31,1.61,1.56,22,-0.5,1.8,1.74,2.2,2.11
P1,24/10/15,Maritimo,Pacos Ferreira,0,2,A,0,1,A,1.91,3.4,4,2,3.3,3.6,2,3.3,3.3,1.95,3.4,3.8,2.02,3.54,4.04,1.95,3.25,3.75,2,3.5,3.9,40,2.02,1.96,3.54,3.35,4.06,3.78,35,2.12,2.04,1.82,1.74,24,-0.5,2.03,1.97,1.91,1.86
P1,25/10/15,Arouca,Tondela,1,1,D,0,0,D,1.85,3.2,4.75,1.83,3.2,4.5,1.85,3.4,3.8,1.8,3.3,4.75,1.85,3.48,5.05,1.85,3,4.6,1.83,3.3,5.2,41,1.88,1.82,3.48,3.26,5.2,4.65,31,2.63,2.52,1.53,1.49,24,-0.5,1.88,1.82,2.08,2.01
P1,25/10/15,Benfica,Sp Lisbon,0,3,A,0,3,A,2.2,3.2,3.4,2.2,3.1,3.4,2.1,3.2,3.4,2.15,3.1,3.5,2.23,3.28,3.7,2.2,3.2,3.4,2.2,3.3,3.6,40,2.23,2.16,3.35,3.16,3.7,3.44,30,2.37,2.24,1.66,1.61,22,-0.25,1.91,1.86,2.03,1.97
P1,25/10/15,Moreirense,Setubal,0,2,A,0,1,A,2.3,3.2,3.2,2.35,3.1,3,2.3,3.1,2.9,2.3,3,3.2,2.42,3.19,3.34,2.45,2.9,3,2.38,3.2,3.3,39,2.45,2.34,3.2,3.06,3.34,3.15,30,2.57,2.42,1.56,1.52,21,0,1.7,1.65,2.33,2.25
P1,25/10/15,Porto,Sp Braga,0,0,D,0,0,D,1.33,4.75,9.5,1.33,4.6,9.25,1.35,4.5,7.3,1.33,5,9,1.36,5.34,9.9,1.33,4.5,11,1.3,5.25,11.5,41,1.36,1.31,5.34,4.87,11.5,9.79,38,1.95,1.86,2.02,1.91,25,-1.5,2.09,1.99,1.89,1.84
P1,26/10/15,Belenenses,Uniao Madeira,1,0,H,0,0,D,1.83,3.4,4.5,1.87,3.25,4.2,1.9,3.3,3.7,1.85,3.1,4.5,1.9,3.34,5,1.91,3,4.33,1.9,3.3,4.8,38,1.92,1.87,3.4,3.2,5,4.45,31,2.69,2.49,1.55,1.5,22,-0.5,1.94,1.88,2.02,1.95
P1,30/10/15,Tondela,Benfica,0,4,A,0,3,A,13,5.25,1.25,11,5,1.26,8.5,4.8,1.3,13,5.5,1.25,14.9,5.9,1.27,13,5.5,1.25,15,6,1.22,47,17,12.99,6,5.37,1.3,1.24,42,1.95,1.87,1.99,1.9,29,1.5,2.11,2.02,1.87,1.81
P1,31/10/15,Sp Braga,Belenenses,4,0,H,1,0,H,1.5,4,6.5,1.53,3.75,6.25,1.55,3.7,5.4,1.48,3.8,7.5,1.51,4.17,8.22,1.53,3.8,7,1.5,4.1,7.5,46,1.55,1.49,4.17,3.94,8.22,6.86,40,2.2,2.11,1.77,1.69,27,-1,1.92,1.86,2.05,1.96
