šport;država;liga;stavina;dan;polčas;tip;hc;tot;igralnaKvota;razlika;profit
Basketball;Hrvaška;Croatian;2;7;0;2;NULL;NULL;3,25;0,075;-1,00
Basketball;Srbija;Serbia NaLig;2;7;0;2;NULL;NULL;2,55;0,034;-1,00
Hockey;Švica;Switz NL A 3;1;7;0;2;NULL;NULL;2,05;0,041;1,05
Basketball;Francija;France ProA;1;7;0;2;NULL;NULL;1,85;0,034;-1,00
Basketball;Francija;France ProA;1;7;0;2;NULL;NULL;1,40;0,035;0,40
tennis;svet;Champ Ch F;2;7;0;2;0,00;NULL;1,37;0,032;-1,00
soccer;Belgija;Belgian;2;7;0;4;NULL;2,50;1,90;0,031;-1,00
soccer;Belgija;Belgian;2;7;1;4;NULL;1,50;1,50;0,033;-1,00
Basketball;Nemčija;Ger - Bund 1;1;7;0;2;NULL;NULL;2,65;0,088;1,65
Basketball;Španija;Spain ACB;2;7;0;2;NULL;NULL;2,55;0,045;1,55
soccer;Nizozemska;Dutch 1;1;7;0;2;0,00;NULL;2,26;0,032;-1,00
Basketball;ZDA;NBA;1;7;0;2;NULL;NULL;1,75;0,034;-1,00
Hockey;ZDA;NHL Reg Time;1;1;0;2;NULL;NULL;2,15;0,039;1,15
soccer;Japonska;J-League;1;1;0;2;NULL;NULL;1,35;0,035;0,35
soccer;Avstralija;Australia W;1;1;0;4;NULL;2,50;1,75;0,06;-1,00
soccer;Kitajska;China FA Cup;2;1;0;4;NULL;2,50;1,90;0,052;0,90
soccer;Kitajska;China FA Cup;2;1;1;4;NULL;1,50;1,50;0,036;0,50
Basketball;Španija;Spain ACB;1;1;0;2;NULL;NULL;3,15;0,052;2,15
soccer;Slovaška;Czech;2;1;0;2;NULL;NULL;2,45;0,063;-1,00
soccer;Ciper;Cyprus 1st D;2;1;0;4;NULL;2,50;1,95;0,049;0,95
Basketball;Poljska;Polish Liga;2;1;0;2;NULL;NULL;4,10;0,049;3,10
soccer;Slovenija;SloveniaPrva;1;1;0;2;NULL;NULL;2,30;0,032;1,30
Basketball;Španija;Spain ACB;1;1;0;2;NULL;NULL;2,55;0,034;-1,00
Basketball;Italija;Italy Lega A;1;1;0;2;NULL;NULL;1,70;0,035;-1,00
soccer;Portugalska;Portugal Cup;2;1;0;2;NULL;NULL;1,45;0,031;-1,00
Basketball;Srbija;Serbia NaLig;1;1;0;2;NULL;NULL;4,00;0,104;-1,00
soccer;Belgija;Belgian 2;1;1;0;2;NULL;NULL;2,05;0,059;1,05
soccer;Brazilija;Brazil Ser A;2;1;0;2;0,00;NULL;2,29;0,044;-1,00
soccer;Brazilija;Brazil Ser A;2;1;0;2;NULL;NULL;8,00;0,084;-1,00
Basketball;Poljska;Polish Liga;2;1;0;2;NULL;NULL;5,15;0,046;-1,00
soccer;Brazilija;Brazil Ser A;2;1;0;2;NULL;NULL;4,50;0,035;-1,00
soccer;Paragvaj;Paraguay;2;2;0;2;NULL;NULL;3,45;0,05;-1,00
Basketball;ZDA;NBA;2;2;0;2;NULL;NULL;2,90;0,034;-1,00
soccer;Japonska;J2 League;2;2;0;4;NULL;2,50;1,80;0,047;-1,00
soccer;Japonska;J2 League;2;2;0;4;NULL;2,50;1,79;0,052;-1,00
tennis;svet;M Andria R1;2;2;0;2;0,00;NULL;1,60;0,031;0,60
tennis;svet;M Andria R1;2;2;0;2;0,00;NULL;1,25;0,032;0,25
soccer;Ciper;Cyprus 1st D;1;2;0;2;NULL;NULL;1,65;0,036;-1,00
Basketball;Mednarodni;Adriatic;2;2;0;2;NULL;NULL;1,45;0,037;0,45
soccer;Danska;Danish L;2;2;1;4;NULL;1,50;1,50;0,035;0,50
soccer;Danska;Danish L;2;2;0;4;NULL;2,50;2,00;0,04;-1,00
soccer;Romunija;Romania 1;x2;2;0;2;NULL;NULL;1,96;0,036;-1,00
Basketball;Nemčija;Ger - Bund 1;1;2;0;2;NULL;NULL;1,52;0,033;0,52
Basketball;Francija;France ProA;2;2;0;2;NULL;NULL;1,62;0,04;0,62
soccer;Italija;Serie B;1;2;0;4;NULL;2,50;1,76;0,04;0,76
Basketball;Poljska;Polish Liga;1;2;0;2;NULL;NULL;2,05;0,073;-1,00
Basketball;Italija;Italy Lega A;1;2;0;2;NULL;NULL;1,80;0,038;0,80
Basketball;Mednarodni;Adriatic;2;2;0;2;NULL;NULL;1,25;0,035;0,25
soccer;Paragvaj;Paraguay;1;2;0;2;NULL;NULL;1,57;0,043;-1,00
Basketball;ZDA;NBA;1;3;0;2;NULL;NULL;1,28;0,031;0,28
Basketball;ZDA;NBA;1;3;0;2;NULL;NULL;1,85;0,077;-1,00
Basketball;Filipini;PBA Phil Cup;2;3;0;2;NULL;NULL;2,15;0,046;1,15
Basketball;Filipini;PBA Phil Cup;1;3;0;2;NULL;NULL;2,45;0,042;-1,00
tennis;svet;M Andria R1;2;3;0;2;0,00;NULL;1,40;0,05;-1,00
soccer;Mednarodni;UEFA YL;1;3;0;2;0,00;NULL;1,80;0,051;-1,00
Basketball;Mednarodni;Euro Chall;1;3;0;2;NULL;NULL;1,57;0,031;-1,00
Basketball;Mednarodni;Euro Chall;1;3;0;2;NULL;NULL;1,40;0,035;0,40
Basketball;Mednarodni;Eurocup;1;3;0;2;NULL;NULL;1,85;0,031;0,85
Basketball;Mednarodni;Euro Chall;2;3;0;2;NULL;NULL;1,55;0,041;-1,00
Basketball;Mednarodni;Eurocup;2;3;0;2;NULL;NULL;1,90;0,047;-1,00
Hockey;Avstrija;Austri EHL 3;1;3;0;2;NULL;NULL;2,30;0,139;-1,00
Basketball;Mednarodni;Eurocup;2;3;0;2;NULL;NULL;1,70;0,038;-1,00
Basketball;Mednarodni;Eurocup;2;3;0;2;NULL;NULL;1,50;0,031;0,50
soccer;Mednarodni;UEFA CL;x;3;1;2;NULL;NULL;4,10;0,037;-1,00
soccer;Mednarodni;UEFA YL;2;3;0;2;NULL;NULL;9,10;0,086;-1,00
soccer;Mednarodni;UEFA CL;x2;3;0;2;NULL;NULL;2,35;0,044;1,35
soccer;Brazilija;Brazil Ser B;1;3;0;2;NULL;NULL;1,90;0,031;0,90
Basketball;ZDA;NBA;1;4;0;2;NULL;NULL;1,85;0,035;-1,00
soccer;Bolivija;Bolivia 1;2;4;0;2;NULL;NULL;3,25;0,034;-1,00
tennis;svet;M Toyota R16;2;4;0;2;0,00;NULL;1,85;0,044;-1,00
Basketball;J.Koreja;Korean BL;2;4;0;2;NULL;NULL;2,00;0,035;1,00
Basketball;Filipini;PBA Phil Cup;2;4;0;2;NULL;NULL;1,62;0,092;0,62
soccer;Mednarodni;UEFA YL;2;4;0;2;0,00;NULL;2,14;0,04;1,14
Basketball;Kitajska;China BaskAs;1;4;0;2;NULL;NULL;3,65;0,031;-1,00
soccer;Indija;India SL;1;4;0;2;NULL;NULL;1,80;0,036;-1,00
tennis;svet;Brazil F;1;4;0;2;0,00;NULL;1,75;0,042;0,75
tennis;svet;Brazil F;1;4;1;2;0,00;NULL;1,80;0,031;-1,00
tennis;svet;Brazil F;1;4;0;2;-1,50;NULL;2,95;0,052;-1,00
soccer;Mednarodni;UEFA CL;1x;4;0;2;NULL;NULL;1,94;0,031;0,94
soccer;Rusija;Russia FNL;2;4;0;2;NULL;NULL;2,25;0,046;1,25
Basketball;Mednarodni;Euro Chall;1;4;0;2;NULL;NULL;1,35;0,049;0,35
soccer;Slovenija;SloveniaPrva;2;4;0;2;NULL;NULL;9,00;0,036;-1,00
Hockey;Finska;Finland SM 3;1;4;0;2;NULL;NULL;2,85;0,04;1,85
Basketball;Češka;Czech Mat;1;4;0;2;NULL;NULL;1,50;0,06;0,50
Basketball;Poljska;Polish Liga;1;4;0;2;NULL;NULL;2,31;0,039;-1,00
soccer;Mednarodni;UEFA YL;1;4;0;2;-1,00;NULL;1,75;0,032;-1,00
Basketball;Mednarodni;Euro Chall;2;4;0;2;NULL;NULL;4,00;0,031;-1,00
Basketball;Mednarodni;Euro Chall;1;4;0;2;NULL;NULL;2,50;0,034;-1,00
soccer;Mednarodni;UEFA CL;1;4;0;4;NULL;2,50;1,75;0,034;0,75
soccer;Mednarodni;Sth.Amer Cup;1;5;0;2;NULL;NULL;1,50;0,034;-1,00
Basketball;ZDA;NBA;1;5;0;2;NULL;NULL;1,70;0,039;0,70
Basketball;ZDA;NBA;2;5;0;2;NULL;NULL;1,85;0,042;-1,00
Basketball;ZDA;NBA;2;5;0;2;NULL;NULL;2,85;0,046;1,85
Basketball;Avstralija;Aussie NBL;2;5;0;2;NULL;NULL;1,50;0,031;0,50
soccer;Egipt;Egypt PL;x2;5;0;2;NULL;NULL;2,02;0,043;1,02
soccer;Mednarodni;UEFA Cup;1x;5;0;2;NULL;NULL;2,02;0,04;1,02
